Index,Date,Adj Close,Open,High,Low,Vol.,Change %
0,11/16/17,40813.31,"40,705.44","40,886.03","40,686.62",51.54K,0.37%
1,11/17/17,40844.40,"40,832.14","40,910.17","40,637.15",58.02K,0.08%
2,11/20/17,40316.93,"40,843.94","40,923.09","40,260.05",44.35K,-1.29%
3,11/21/17,40548.83,"40,353.11","40,603.55","40,271.53",43.46K,0.58%
4,11/22/17,40591.87,"40,643.09","40,741.91","40,465.52",117.58K,0.11%
5,11/23/17,40266.21,"40,626.00","40,712.65","40,136.86",43.66K,-0.80%
6,11/24/17,40248.41,"40,276.63","40,368.35","40,082.70",61.54K,-0.04%
7,11/27/17,40032.17,"40,152.72","40,152.72","39,932.93",74.32K,-0.54%
8,11/28/17,39634.13,"40,060.49","40,125.75","39,564.27",68.94K,-0.99%
9,11/29/17,39672.89,"39,647.23","39,760.50","39,462.71",73.09K,0.10%
10,11/30/17,40010.36,"39,706.17","40,091.48","39,702.84",126.12K,0.85%
11,12/04/17,40049.80,"40,048.76","40,131.37","39,931.52",47.29K,0.10%
12,12/05/17,39945.41,"40,072.17","40,084.97","39,892.34",67.87K,-0.26%
13,12/06/17,39907.32,"39,960.06","40,062.62","39,825.23",49.27K,-0.10%
14,12/07/17,38784.66,"39,880.82","39,880.82","38,769.09",71.11K,-2.81%
15,12/08/17,39080.00,"38,645.26","39,339.65","38,431.78",80.65K,0.76%
16,12/11/17,38481.70,"39,059.48","39,437.43","38,374.73",57.16K,-1.53%
17,12/12/17,38525.11,"38,504.71","38,620.66","37,736.73",107.74K,0.11%
18,12/13/17,38819.65,"38,588.04","38,884.89","38,527.62",70.08K,0.76%
19,12/14/17,38223.55,"38,825.74","38,825.74","38,126.85",54.16K,-1.54%
20,12/15/17,38645.90,"38,214.21","38,919.03","38,192.70",94.86K,1.10%
21,12/18/17,38383.97,"38,660.09","38,703.15","38,337.37",25.41K,-0.68%
22,12/19/17,37919.42,"38,418.88","38,443.12","37,768.25",55.91K,-1.21%
23,12/20/17,38208.06,"37,963.09","38,323.55","37,842.52",74.98K,0.76%
24,12/21/17,38715.77,"38,216.76","38,793.99","38,014.84",81.30K,1.33%
25,12/22/17,39428.21,"38,770.46","39,525.21","38,710.53",98.50K,1.84%
26,12/26/17,39525.75,"39,524.24","39,719.13","39,293.37",89.19K,0.25%
27,12/27/17,40146.73,"39,614.37","40,160.47","39,614.37",107.27K,1.57%
28,12/28/17,40371.31,"40,235.08","40,463.66","40,031.34",94.20K,0.56%
29,12/29/17,40471.48,"40,400.82","40,644.74","40,271.18",126.86K,0.25%
30,01/01/18,40711.04,"40,470.44","40,815.96","40,169.62",51.41K,0.59%
31,01/02/18,41486.87,"40,676.19","41,566.76","40,534.79",137.61K,1.91%
32,01/03/18,41544.27,"41,539.93","41,819.75","41,289.17",150.64K,0.14%
33,01/04/18,41908.71,"41,600.40","41,995.66","41,600.40",127.65K,0.88%
34,01/05/18,42523.99,"41,876.62","42,584.96","41,821.85",109.96K,1.47%
35,01/08/18,43112.12,"42,634.49","43,256.57","42,634.49",125.69K,1.38%
36,01/09/18,42814.34,"43,188.71","43,251.40","42,566.51",118.67K,-0.69%
37,01/10/18,43630.74,"42,888.33","43,659.45","42,881.88",143.75K,1.91%
38,01/11/18,43395.28,"43,693.60","43,824.02","43,140.94",163.18K,-0.54%
39,01/12/18,42933.72,"43,426.86","43,436.20","42,754.30",108.96K,-1.06%
40,01/15/18,42347.49,"42,891.16","42,897.82","42,270.38",55.75K,-1.37%
41,01/16/18,42939.68,"42,358.99","43,142.59","42,324.27",73.61K,1.40%
42,01/17/18,43358.97,"42,936.43","43,386.27","42,874.39",64.03K,0.98%
43,01/18/18,43580.88,"43,626.06","44,004.13","43,192.75",124.53K,0.51%
44,01/19/18,44178.83,"43,647.33","44,203.13","43,609.16",97.36K,1.37%
45,01/22/18,44897.69,"44,225.24","44,951.21","44,121.97",135.80K,1.63%
46,01/23/18,44907.20,"44,897.69","44,970.78","44,465.31",113.42K,0.02%
47,01/24/18,45063.21,"45,037.35","45,494.52","44,781.83",173.35K,0.35%
48,01/25/18,44816.71,"45,063.21","45,179.00","44,729.81",101.41K,-0.55%
49,01/26/18,44551.13,"44,825.78","44,825.78","44,196.57",131.05K,-0.59%
50,01/29/18,44457.30,"44,724.44","44,855.77","44,337.72",87.13K,-0.21%
51,01/30/18,44233.11,"44,492.11","44,615.10","44,081.23",71.90K,-0.50%
52,01/31/18,44049.05,"44,252.94","44,533.76","43,996.42",80.16K,-0.42%
53,02/01/18,44255.48,"44,103.07","44,436.39","44,103.07",70.70K,0.47%
54,02/02/18,44301.20,"44,341.88","44,637.02","44,252.88",93.17K,0.10%
55,02/06/18,43885.51,"43,965.88","43,965.88","43,498.24",83.38K,-0.94%
56,02/07/18,44096.49,"44,039.51","44,299.87","44,034.24",108.92K,0.48%
57,02/08/18,43679.87,"44,079.12","44,151.54","43,629.82",96.62K,-0.94%
58,02/09/18,43808.80,"43,533.11","43,826.60","43,286.24",80.14K,0.30%
59,02/12/18,43515.08,"43,795.20","43,900.20","43,461.25",65.91K,-0.67%
60,02/13/18,43690.36,"43,582.09","43,878.33","43,548.81",61.85K,0.40%
61,02/14/18,43353.04,"43,675.68","43,781.77","43,215.72",77.84K,-0.77%
62,02/15/18,42942.35,"43,377.08","43,451.31","42,859.85",83.85K,-0.95%
63,02/16/18,43627.10,"42,916.87","43,691.28","42,916.87",63.84K,1.59%
64,02/19/18,43572.67,"43,753.08","43,945.62","43,512.09",39.23K,-0.12%
65,02/20/18,43294.95,"43,587.98","43,588.77","42,864.82",68.89K,-0.64%
66,02/21/18,42919.78,"43,509.98","43,623.59","42,834.21",78.21K,-0.87%
67,02/22/18,43528.51,"42,701.29","43,627.86","42,384.18",67.53K,1.42%
68,02/23/18,43267.20,"43,746.75","43,797.11","43,014.03",96.11K,-0.60%
69,02/26/18,42911.02,"43,443.68","43,490.69","42,804.50",55.13K,-0.82%
70,02/27/18,42994.96,"42,900.85","43,116.82","42,606.88",64.53K,0.20%
71,02/28/18,43239.44,"43,022.00","43,323.18","43,016.54",50.02K,0.57%
72,03/01/18,43510.39,"43,259.45","43,634.10","43,176.04",79.83K,0.63%
73,03/02/18,43740.49,"43,567.18","43,759.13","43,412.47",84.42K,0.53%
74,03/05/18,43829.07,"43,797.53","43,875.00","43,654.69",44.75K,0.20%
75,03/06/18,43705.10,"43,852.32","44,044.01","43,660.46",61.33K,-0.28%
76,03/07/18,43441.18,"43,712.63","43,724.56","43,416.45",45.53K,-0.60%
77,03/08/18,43072.74,"43,416.46","43,475.56","42,940.70",69.03K,-0.85%
78,03/09/18,43011.26,"43,089.18","43,188.55","42,860.98",53.89K,-0.14%
79,03/12/18,43410.93,"43,020.08","43,479.50","43,011.86",31.21K,0.93%
80,03/13/18,43618.07,"43,431.31","43,707.13","43,354.13",60.04K,0.48%
81,03/14/18,43407.72,"43,601.78","43,601.95","43,346.39",47.24K,-0.48%
82,03/15/18,43495.07,"43,409.07","43,509.56","43,366.67",39.44K,0.20%
83,03/16/18,43363.21,"43,513.82","43,525.59","43,314.22",54.22K,-0.30%
84,03/19/18,43539.60,"43,362.88","43,620.81","43,311.85",36.11K,0.41%
85,03/20/18,44309.74,"43,542.12","44,404.86","43,542.12",92.62K,1.77%
86,03/21/18,44645.95,"44,450.27","44,840.69","44,443.51",82.64K,0.76%
87,03/22/18,45030.22,"44,705.94","45,032.41","44,659.33",89.21K,0.86%
88,03/26/18,45083.57,"45,019.02","45,118.16","44,784.81",56.93K,0.12%
89,03/27/18,45004.19,"45,100.61","45,307.45","44,936.12",104.10K,-0.18%
90,03/28/18,45172.99,"45,032.93","45,232.77","44,899.51",142.67K,0.38%
91,03/29/18,45489.62,"45,157.83","45,506.11","45,155.51",163.04K,0.70%
92,03/30/18,45560.30,"45,483.29","45,604.59","45,391.71",109.23K,0.16%
93,04/02/18,45741.43,"45,624.13","45,771.40","45,413.69",128.18K,0.40%
94,04/03/18,46013.34,"45,744.57","46,057.53","45,692.02",135.74K,0.59%
95,04/04/18,46103.61,"46,058.24","46,447.91","46,037.54",148.45K,0.20%
96,04/05/18,46560.82,"46,325.39","46,656.93","46,085.10",113.58K,0.99%
97,04/06/18,46637.62,"46,783.54","47,144.12","46,542.82",136.41K,0.16%
98,04/09/18,46580.62,"46,652.16","46,828.20","46,530.06",100.59K,-0.12%
99,04/10/18,46476.73,"46,599.81","46,679.69","46,407.10",74.86K,-0.22%
100,04/11/18,46486.49,"46,557.41","46,759.47","46,472.15",106.35K,0.02%
101,04/12/18,46331.71,"46,576.74","46,577.98","46,219.85",153.29K,-0.33%
102,04/13/18,46071.86,"46,310.41","46,349.69","46,036.23",105.27K,-0.56%
103,04/16/18,45682.24,"46,095.83","46,095.83","45,610.22",68.26K,-0.85%
104,04/17/18,45801.73,"45,690.11","45,881.84","45,484.94",73.71K,0.26%
105,04/18/18,45478.63,"45,835.14","46,003.96","45,423.95",85.23K,-0.71%
106,04/19/18,45387.77,"45,460.80","45,492.33","45,122.75",111.17K,-0.20%
107,04/20/18,45259.34,"45,400.36","45,525.73","45,153.92",57.83K,-0.28%
108,04/23/18,45371.95,"45,235.40","45,452.98","45,191.00",61.79K,0.25%
109,04/24/18,45876.70,"45,426.10","45,911.61","45,409.50",84.50K,1.11%
110,04/25/18,45718.34,"45,885.72","45,942.10","45,681.74",104.64K,-0.35%
111,04/26/18,45460.87,"45,769.04","45,780.94","45,427.19",86.79K,-0.56%
112,04/27/18,45542.78,"45,470.35","45,671.76","45,458.25",98.49K,0.18%
113,04/30/18,45488.86,"45,752.81","45,841.40","45,424.87",155.96K,-0.12%
114,05/02/18,45196.37,"45,471.74","45,484.39","45,160.64",64.76K,-0.64%
115,05/03/18,44746.63,"45,214.42","45,259.77","44,556.18",73.75K,-1.00%
116,05/04/18,44536.91,"44,750.79","44,785.32","44,467.44",68.78K,-0.47%
117,05/07/18,44378.52,"44,546.19","44,763.37","44,321.88",59.94K,-0.36%
118,05/08/18,44066.96,"44,364.02","44,440.10","43,925.64",80.07K,-0.70%
119,05/09/18,43795.00,"44,163.86","44,249.13","43,386.63",80.67K,-0.62%
120,05/10/18,43855.78,"43,877.06","44,139.12","43,735.44",74.29K,0.14%
121,05/11/18,43594.79,"43,869.07","44,027.58","43,550.68",86.30K,-0.60%
122,05/14/18,42498.86,"43,543.08","43,543.08","42,431.44",97.49K,-2.51%
123,05/15/18,42459.53,"42,478.99","42,608.08","41,845.31",111.34K,-0.09%
124,05/16/18,42301.20,"42,467.22","42,579.81","42,198.84",39.63K,-0.37%
125,05/17/18,41869.65,"42,272.84","42,277.00","41,833.60",33.40K,-1.02%
126,05/18/18,41623.52,"41,886.77","41,974.35","41,458.12",55.39K,-0.59%
127,05/21/18,41648.65,"41,721.39","41,912.68","41,591.44",52.32K,0.06%
128,05/22/18,42744.82,"41,657.60","42,770.41","41,657.60",92.27K,2.63%
129,05/23/18,42772.25,"42,794.31","43,060.68","42,676.51",76.69K,0.06%
130,05/24/18,42536.16,"42,776.83","42,838.15","42,446.82",68.99K,-0.55%
131,05/25/18,42074.09,"42,549.15","42,570.77","42,000.47",63.10K,-1.09%
132,05/28/18,42138.57,"42,051.93","42,543.27","41,872.34",85.25K,0.15%
133,05/29/18,42622.74,"42,146.76","42,667.69","42,112.75",67.53K,1.15%
134,05/30/18,42546.48,"42,667.17","42,773.81","42,337.51",84.02K,-0.18%
135,05/31/18,42846.64,"42,574.60","42,919.72","42,496.37",98.88K,0.71%
136,06/01/18,42912.81,"42,780.91","42,969.38","42,749.42",38.55K,0.15%
137,06/04/18,43268.29,"42,903.41","43,293.91","42,832.94",73.12K,0.83%
138,06/05/18,43702.58,"43,295.58","43,747.18","43,197.44",122.61K,1.00%
139,06/06/18,44144.20,"43,767.67","44,170.72","43,679.68",158.93K,1.01%
140,06/07/18,43948.11,"44,178.85","44,332.86","43,894.34",169.88K,-0.44%
141,06/11/18,43931.16,"44,046.00","44,244.07","43,838.17",104.45K,-0.04%
142,06/12/18,43228.90,"43,893.15","43,968.33","43,143.00",86.90K,-1.60%
143,06/13/18,43507.50,"43,217.20","43,589.72","43,217.20",72.36K,0.64%
144,06/14/18,43680.68,"43,535.38","43,731.13","43,459.47",72.20K,0.40%
145,06/19/18,43682.84,"43,699.37","43,825.11","43,511.65",63.74K,0.00%
146,06/20/18,43002.83,"43,683.32","43,746.21","42,954.89",91.52K,-1.56%
147,06/21/18,42358.61,"42,881.74","42,894.63","42,296.07",153.72K,-1.50%
148,06/22/18,41637.38,"42,336.83","42,499.86","41,561.76",120.52K,-1.70%
149,06/25/18,40978.23,"41,642.41","41,843.09","40,900.74",107.45K,-1.58%
150,06/26/18,41246.09,"41,006.75","41,526.57","40,990.44",91.30K,0.65%
151,06/27/18,41717.99,"41,281.45","41,817.21","41,281.45",104.01K,1.14%
152,06/28/18,41997.85,"41,710.35","42,077.66","41,539.29",97.00K,0.67%
