Index,Date,Adj Close,Open,High,Low,Vol.,Change %
0,11/16/17,17.26,17.51,17.68,17.2,627.00K,-1.65%
1,11/17/17,17.65,17.41,17.65,17.41,30.50K,2.26%
2,11/20/17,17.35,17.5,17.69,17.32,35.50K,-1.70%
3,11/21/17,17.45,17.68,17.68,17.25,95.00K,0.58%
4,11/22/17,17.48,17.3,17.97,17.25,65.00K,0.17%
5,11/23/17,17.5,17.89,17.89,17.33,20.50K,0.11%
6,11/24/17,17.75,17.85,18.1,17.53,105.50K,1.43%
7,11/27/17,17.75,17.7,17.75,17.4,20.00K,0.00%
8,11/28/17,17.75,17.75,17.85,17.7,44.00K,0.00%
9,11/29/17,18,17.87,18,17.7,744.00K,1.41%
10,11/30/17,18.79,18.25,18.79,18,286.00K,4.39%
11,12/04/17,19,18.9,19.5,18.8,101.00K,1.12%
12,12/05/17,19.01,19.02,19.15,18.84,107.00K,0.05%
13,12/06/17,18.75,18.75,19.1,18.6,345.50K,-1.37%
14,12/07/17,17.75,18.75,18.75,17.75,261.00K,-5.33%
15,12/08/17,17.45,17.75,17.77,17.45,182.00K,-1.69%
16,12/11/17,17,17.45,17.6,16.95,78.50K,-2.58%
17,12/12/17,17,16.99,17,16.3,109.00K,0.00%
18,12/13/17,17.49,16.99,17.55,16.99,326.00K,2.88%
19,12/14/17,16.75,17.6,17.6,16.52,313.50K,-4.23%
20,12/15/17,16.8,16.9,17.15,16.66,62.00K,0.30%
21,12/18/17,17.48,16.61,17.48,16.61,781.00K,4.05%
22,12/19/17,16.41,17.55,17.75,16.41,892.50K,-6.12%
23,12/20/17,16.31,16.5,16.75,16.31,1.83M,-0.61%
24,12/21/17,17.44,16.8,17.44,16.5,306.00K,6.93%
25,12/22/17,18.33,18.33,18.33,18.33,217.50K,5.10%
26,12/26/17,19.33,19.33,19.33,19.33,1.94M,5.46%
27,12/27/17,20.33,20.33,20.33,20.33,28.00K,5.17%
28,12/28/17,21.34,21.34,21.34,20.36,4.70M,4.97%
29,12/29/17,22.4,21.84,22.4,21.5,6.76M,4.97%
30,01/01/18,23.52,23.52,23.52,23.08,1.46M,5.00%
31,01/02/18,23.7,24.29,24.4,22.41,1.78M,0.77%
32,01/03/18,22.75,24.2,24.2,22.37,1.07M,-4.01%
33,01/04/18,23.47,22.88,23.88,22.5,1.09M,3.16%
34,01/05/18,23,23.5,23.9,23,705.00K,-2.00%
35,01/08/18,22.89,23.5,23.5,22.78,668.00K,-0.48%
36,01/09/18,22.7,22.76,22.76,22.35,139.00K,-0.83%
37,01/10/18,23.3,22.32,23.6,22.32,664.50K,2.64%
38,01/11/18,23.06,23.01,23.35,22.84,62.00K,-1.03%
39,01/12/18,22.51,22.77,23,22,111.50K,-2.39%
40,01/15/18,21.85,21.83,22.2,21.75,167.50K,-2.93%
41,01/16/18,22.8,22.77,23.11,22.5,951.50K,4.35%
42,01/17/18,22.69,22.57,22.88,22.2,221.00K,-0.48%
43,01/18/18,22.7,23,23.15,22.5,299.50K,0.04%
44,01/19/18,23.2,23,23.6,22.9,487.00K,2.20%
45,01/22/18,23.21,23.2,23.41,23.11,260.00K,0.04%
46,01/23/18,23,23.1,23.13,22.75,172.00K,-0.90%
47,01/24/18,23,23,23.65,22.9,787.50K,0.00%
48,01/25/18,22.99,22.75,23.15,22.75,142.50K,-0.04%
49,01/26/18,22.78,23,23,22.5,100.00K,-0.91%
50,01/29/18,22.55,22.76,22.9,22.5,100.00K,-1.01%
51,01/30/18,23,22.6,23.25,22.3,672.50K,2.00%
52,01/31/18,22.78,23,23.01,22.7,329.50K,-0.96%
53,02/01/18,22.85,22.76,23,22.76,373.00K,0.31%
54,02/02/18,23.24,22.81,23.8,22.8,2.27M,1.71%
55,02/06/18,23.89,22.66,24.11,22.65,1.74M,2.80%
56,02/07/18,23.2,23.95,24.25,23.01,821.50K,-2.89%
57,02/08/18,22.98,23.11,23.5,22.51,220.50K,-0.95%
58,02/09/18,23,23,23.18,22.67,128.50K,0.09%
59,02/12/18,23,22.75,23.2,22.75,391.50K,0.00%
60,02/13/18,22.9,23.3,23.46,22.86,613.00K,-0.43%
61,02/14/18,23.4,23.03,23.6,22.76,1.31M,2.18%
62,02/15/18,24.53,23.4,24.53,23.39,3.04M,4.83%
63,02/16/18,24.62,25.48,25.48,23.94,5.71M,0.37%
64,02/19/18,24.65,24.85,25,24.35,339.00K,0.12%
65,02/20/18,24.64,24.5,25.24,24.5,1.54M,-0.04%
66,02/21/18,24.7,24.55,25.1,24.35,411.00K,0.24%
67,02/22/18,25.67,24,25.69,24,2.27M,3.93%
68,02/23/18,25.15,25.5,25.99,24.7,1.52M,-2.03%
69,02/26/18,25.9,24.75,26.03,24.75,929.50K,2.98%
70,02/27/18,25.57,25.74,26.15,25.33,235.50K,-1.27%
71,02/28/18,26.6,25.5,26.8,25.5,2.09M,4.03%
72,03/01/18,27.75,26.25,27.75,26.2,4.65M,4.32%
73,03/02/18,27.96,28.94,29,27.71,2.34M,0.76%
74,03/05/18,27.02,28.05,28.1,27,440.50K,-3.36%
75,03/06/18,26.53,26.52,26.95,26.45,362.00K,-1.81%
76,03/07/18,26.21,26.5,26.7,26.1,165.00K,-1.21%
77,03/08/18,26,26.45,26.48,25.37,110.00K,-0.80%
78,03/09/18,24.7,26,26,24.7,213.00K,-5.00%
79,03/12/18,25.23,25.5,25.61,25,433.50K,2.15%
80,03/13/18,25,25.11,25.32,25,294.50K,-0.91%
81,03/14/18,25.25,25.25,25.25,24.8,304.50K,1.00%
82,03/15/18,25.1,25.01,25.3,25.01,83.00K,-0.59%
83,03/16/18,25.63,25.62,26.4,25.51,0.50K,2.11%
84,03/19/18,25.32,25.26,25.55,25.26,64.50K,-1.21%
85,03/20/18,25.5,25.5,26,25.25,230.00K,0.71%
86,03/21/18,26.15,26.4,26.3,25.51,1.96M,2.55%
87,03/22/18,26.45,26.48,26.48,25.8,207.50K,1.15%
88,03/26/18,26.8,26.3,26.88,26.26,479.00K,1.32%
89,03/27/18,26.5,26.61,27.2,26.34,202.00K,-1.12%
90,03/28/18,26.18,26.39,26.84,25.86,225.50K,-1.21%
91,03/29/18,26.05,26.12,26.15,25.86,164.50K,-0.50%
92,03/30/18,25.91,26,26.12,25.87,135.00K,-0.54%
93,04/02/18,25.8,26.25,26.55,25.8,21.00K,-0.42%
94,04/03/18,25.76,25.95,26,25.75,41.00K,-0.16%
95,04/04/18,25.83,26,26,25.72,87.50K,0.27%
96,04/05/18,25.42,25.26,25.74,25.2,208.50K,-1.59%
97,04/06/18,24.95,25.99,25.99,24.8,345.00K,-1.85%
98,04/09/18,25.4,25.45,25.7,25.23,267.00K,1.80%
99,04/10/18,25.2,25.26,25.26,25.05,327.50K,-0.79%
100,04/11/18,25.25,25.04,25.4,25.04,151.50K,0.20%
101,04/12/18,24.91,25.35,25.38,24.9,185.50K,-1.35%
102,04/13/18,24.7,25,25,24.6,29.00K,-0.84%
103,04/16/18,24.9,24.99,25,24.45,63.00K,0.81%
104,04/17/18,24.8,24.8,25,24.75,178.00K,-0.40%
105,04/18/18,24.48,25.25,25.25,24.2,163.50K,-1.29%
106,04/19/18,24.82,24.6,24.82,24.56,611.50K,1.39%
107,04/20/18,25.1,24.9,25.45,24.91,502.50K,1.13%
108,04/23/18,25.8,25.42,26,25.3,238.50K,2.79%
109,04/24/18,26.35,26.51,26.59,26,477.00K,2.13%
110,04/25/18,26.66,26.5,27,26.5,2.18M,1.18%
111,04/26/18,26,26.9,27.39,26,77.50K,-2.48%
112,04/27/18,26.31,26.05,26.4,25.95,60.50K,1.19%
113,04/30/18,25.75,27,27,25.66,100.50K,-2.13%
114,05/02/18,25.49,25.7,25.7,25.25,48.50K,-1.01%
115,05/03/18,24.81,25.4,25.4,24.7,53.50K,-2.67%
116,05/04/18,24.85,24.5,24.9,24.5,36.50K,0.16%
117,05/07/18,24.75,25,25,24.75,49.00K,-0.40%
118,05/08/18,24.22,25.28,25.28,24.22,61.50K,-2.14%
119,05/09/18,24.8,24.41,24.8,23.8,40.50K,2.39%
120,05/10/18,24.25,23.65,24.65,23.65,150.00K,-2.22%
121,05/11/18,23.21,24.12,24.24,23.21,88.50K,-4.29%
122,05/14/18,22.75,23.01,23.25,22.75,136.00K,-1.98%
123,05/15/18,22.76,21.65,22.88,21.65,166.00K,0.04%
124,05/16/18,23,22.26,23.5,21.95,277.00K,1.05%
125,05/17/18,23.35,23,23.4,23,211.00K,1.52%
126,05/18/18,23.55,23.12,23.86,23.12,86.50K,0.86%
127,05/21/18,24,23.99,24.42,23.8,30.00K,1.91%
128,05/22/18,24.5,23.8,24.74,23.55,45.00K,2.08%
129,05/23/18,25.31,25,25.31,24.69,840.50K,3.31%
130,05/24/18,26.57,25.6,26.57,25.51,1.92M,4.98%
131,05/25/18,26.7,26.41,27.23,26.31,1.17M,0.49%
132,05/28/18,26.6,27,27.23,26.5,527.00K,-0.37%
133,05/29/18,26.73,26.86,26.86,26.43,231.50K,0.49%
134,05/30/18,27,26.98,27.2,26.71,802.50K,1.01%
135,05/31/18,26.9,27,27,26.7,8.50K,-0.37%
136,06/01/18,26.54,26.58,26.58,26.5,124.00K,-1.34%
137,06/04/18,26.5,26.5,26.75,26.5,477.50K,-0.15%
138,06/05/18,26.12,26.5,26.7,26.12,15.00K,-1.43%
139,06/06/18,26.55,26.51,26.6,26.5,282.50K,1.65%
140,06/07/18,26.5,26.59,26.6,26.5,439.50K,-0.19%
141,06/11/18,26.5,26.5,26.55,26.5,783.50K,0.00%
142,06/12/18,25.6,26.5,26.5,25.6,90.00K,-3.40%
143,06/13/18,25.67,25.67,25.7,25.66,12.50K,0.27%
144,06/14/18,24.85,25.2,25.5,24.51,78.50K,-3.19%
145,06/19/18,24.2,24.21,24.79,24.05,189.50K,-2.62%
146,06/20/18,22.99,24.01,24.1,22.99,692.00K,-5.00%
147,06/21/18,21.85,21.85,21.85,21.85,36.50K,-4.96%
148,06/22/18,20.76,20.76,21.25,20.76,5.17M,-4.99%
149,06/25/18,20.07,20.51,21,19.73,3.17M,-3.32%
150,06/26/18,19.99,20.2,20.45,19.6,307.00K,-0.40%
151,06/27/18,19.05,19,19.79,19,1.18M,-4.70%
152,06/28/18,19.6,19,19.95,19,430.50K,2.89%
153,06/29/18,19.75,19.5,20.05,19.1,471.00K,0.77%
154,07/02/18,19.8,19.85,20,19.6,203.00K,0.25%
155,07/03/18,19.65,19.5,19.9,19.5,96.50K,-0.76%
156,07/04/18,18.9,19.5,19.56,18.7,722.50K,-3.82%
157,07/05/18,18.98,19,19,18.6,324.00K,0.42%
158,07/06/18,18.81,18.95,19.01,18.65,148.50K,-0.90%
159,07/09/18,17.9,18.7,18.8,17.9,455.00K,-4.84%
160,07/10/18,17.8,17.71,18,17.35,226.50K,-0.56%
161,07/11/18,17.7,18,18.2,17.7,387.00K,-0.56%
162,07/12/18,18,17.75,18,17.72,104.00K,1.69%
163,07/13/18,18,18,18.1,17.9,189.50K,0.00%
164,07/16/18,17.95,17.92,18,17.55,371.50K,-0.28%
165,07/17/18,18,17.75,18.04,17.75,71.50K,0.28%
166,07/18/18,18.5,18,18.65,18,701.50K,2.78%
167,07/19/18,18.85,18.5,19.15,18.5,823.00K,1.89%
168,07/20/18,18.45,18.62,18.7,18.26,146.50K,-2.12%
169,07/23/18,18.05,18,18.11,17.92,254.00K,-2.17%
170,07/24/18,19.05,18.1,19.05,18.1,604.50K,5.54%
171,07/26/18,19.15,19.5,19.5,18.8,489.50K,0.52%
172,07/27/18,19.27,19,19.44,19,310.00K,0.63%
173,07/30/18,20.27,19.6,20.27,19.6,1.59M,5.19%
174,07/31/18,20,20.99,20.99,20,1.44M,-1.33%
175,08/01/18,20.2,19.9,20.3,19.9,267.00K,1.00%
176,08/02/18,19.7,20.2,20.23,19.7,173.00K,-2.48%
177,08/03/18,19.8,19.65,20.45,19.65,95.50K,0.51%
178,08/06/18,20.15,20,20.4,20,275.50K,1.77%
179,08/07/18,20.12,20.4,20.4,20.12,148.50K,-0.15%
180,08/08/18,20.2,21,20.39,20.02,313.50K,0.40%
181,08/09/18,20.25,20.2,20.35,20.2,439.00K,0.25%
182,08/10/18,20.3,20.4,20.5,20.3,560.50K,0.25%
183,08/13/18,20.2,20.21,20.5,20.2,235.50K,-0.49%
184,08/15/18,20.16,20.25,20.8,20.15,813.50K,-0.20%
185,08/16/18,20,20.06,20.5,19.82,801.00K,-0.79%
186,08/17/18,20.56,20,20.92,20,853.00K,2.80%
187,08/20/18,20.51,20.66,20.85,20.5,477.50K,-0.24%
188,08/24/18,20.3,20.74,20.74,20.26,24.50K,-1.02%
